model,netchop-3.1-20s-3.0,netchop-3.1-cterm-3.0,netcleave-i-hla,netcleave-ii-hla,pepsickle-in-vivo-all-mammal,pepsickle-in-vivo-human-only
netchop-3.1-20s-3.0,1.0,0.31526064887915395,0.40441186794059764,-0.12794416606887773,0.21580144065663237,0.20310130804473894
netchop-3.1-cterm-3.0,0.31526064887915395,1.0,0.6549044185060796,0.07395185811351108,0.49388710904079597,0.544070048752841
netcleave-i-hla,0.40441186794059764,0.6549044185060796,1.0,-0.06404875113224336,0.6241952404558736,0.6275837770097038
netcleave-ii-hla,-0.12794416606887773,0.07395185811351108,-0.06404875113224336,1.0,0.03698495796823747,0.044620526411133836
pepsickle-in-vivo-all-mammal,0.21580144065663237,0.49388710904079597,0.6241952404558736,0.03698495796823747,1.0,0.9455893318264673
pepsickle-in-vivo-human-only,0.20310130804473894,0.544070048752841,0.6275837770097038,0.044620526411133836,0.9455893318264673,1.0
